,0
0,Weakness
1,Preferance
2,Recycle
3,Parent
4,Website_(Non-city-based_Ethnic)
5,Primary_Language
6,Email
7,Small_Business
8,TV/Radio_(Non-city-based_Ethnic)
9,Self_Employed_Full_Time
10,Online_Communities
11,TV/Radio_(Non-city-based_General)
12,Other_(City-based)
13,Focus_Group
14,Transportation_(Medical)
15,Treatment
16,Grandparent
17,Public_Meeting
18,Carpooling
19,Social_Networks_(Non-city-based_General)
20,Paper_(City-based)
21,Unemployed
22,Other_(Non-city-based_Ethnic)
23,Nursing_Home_(AD)
24,Drinking
25,Public_Computer
26,Website_(City-based)
27,Paper_(Non-city-based_General)
28,Unmet_Health_Need
29,Citizenship_Class
30,EMS_Classes
31,Other_Relative
32,Compost
33,Hypertension
34,Diagnosed
35,Avoidance_(AD)
36,Nursing_Home
37,Smoking
38,Unmet_Dental_Needs
39,District
40,Homemaker
41,Mobile_Devices
42,TV/Radio_(City-based)
43,US_Born
44,Disappointment
45,Home_Phone
46,Full_Time_Employment
47,Plan_(AD)
48,Website_(Non-city-based_General)
49,Embarrassing_(AD)
50,Children
51,General_Practitioner
52,Health_Insurance
53,Achieving_Ends_Meet
54,Healthy_Diet
55,Arthritis
56,Other_Transportation
57,Social_Networks
58,Part_Time_Employment
59,Social_Networks_(City-based)
60,Cure_(AD)
61,9-1-1
62,Diabetes
63,Other_Employement
64,Physical_Check-up
65,Fire_Alarm
66,Access_to_a_Computer
67,Brother/Sister
68,Grand_Children
69,Residency_
70,People_(Non-city-based_Ethnic)
71,Other_
72,Hygiene_Assistance
73,People_(City-based)
74,Friends
75,City_Election
76,Social_Networks_(Non-city-based_Ethnic)
77,Dental_Insurance
78,Mobile_Apps
79,Personal_Car
80,Education_(AD)
81,Language_Barrier_(AD)
82,People_(Non-city-based_General)
83,Counseling
84,Discrimination_
85,Literature
86,Other
87,Antidepressants
88,Comunication_Problem
89,Aging_(AD)
90,Advanced_Directives
91,Bicycling
92,Aware_of_AARC
93,Urgentcare
94,Spouse
95,Danger
96,APD_Languages_
97,Recovery
98,Preference
99,Heart_Disease
100,Other_(Non-city-based_General)
101,Public_Transportation
102,Shame
103,English_Classes
104,Disabled
105,Student
106,Car_Share
107,Psychiatrist
108,Interpretation_(Medical)
109,Contact_City_Official
110,Health_Website
111,Dentist_Check-up
112,Therapist/Counselor_
113,Services_(AD)
114,Folkmedicine
115,Walking
116,3-1-1
117,Paper_(Non-city-based_Ethnic)
118,users
119,Heal_Professionals
120,Retired
121,Smoke_Detector
122,Council_Meeting
123,Religious_Leader
124,Acquaintances
125,Family
126,Disclosure
127,Stroke
128,Fate_(AD)
129,Have_an_Advanced_Directive
130,No_One
131,Close_Friend
132,Regular_Exercise
133,Library_Internet_Acess
134,Self_Employed_Part_Time
135,Primary_Care
