,0
0,English_Speaking
1,English_Difficulties
2,Familiarity_with_America
3,Familiarity_with_Ethnic_Origin
4,Identify_Ethnically
5,Belonging
6,Present_Health
7,Present_Mental_Health
8,Present_Oral_Health
9,Satisfaction
10,Satisfied_With_Life_1
11,Satisfied_With_Life_2
12,Knowledge
13,Concern_for_Self_(AD)
14,Concern_for_Others_(AD)
15,Prevention
16,Superstition
17,Family_Respect
18,Similar_Values
19,Successful_Family
20,Trust
21,Loyalty
22,Family_Pride
23,Expression
24,Spend_Time_Together
25,Feel_Close_
26,Togetherness
27,Religious_Attendance
28,Religious_Importance
29,Close-knit_Community
30,Helpful_Community
31,Community_Shares_Values
32,Get_Along
33,Community_Trust
34,Place_to_Live
35,Raising_Children
36,Place_to_Work
37,Small_Businesses_
38,Place_to_Retire
39,Arts_and_Culture
40,Safety
41,Traffic
42,Qualtiy_of_Life
43,Quality_of_Service
44,Parks_and_Recs
45,Libraries
46,Public_Safety
47,Airport
48,Austin_Energy
49,Court
50,Social_Services
51,Visit_Frequency_
52,Activities
53,Satisfaction_With_Housing.
54,City_Effort_Satisfaction
55,Concerns
