iter	RMSE
0	3.927377267
1	3.891455435
2	3.860623952
3	3.829928818
4	3.798380301
5	3.765736894
6	3.736212741
7	3.710425634
8	3.686342701
9	3.658608489
10	3.635587073
11	3.609098444
12	3.584592261
13	3.562653269
14	3.541380023
15	3.522511772
16	3.501400185
17	3.483707495
18	3.464914817
19	3.447174118
20	3.431159488
21	3.414909878
22	3.399086578
23	3.383982664
24	3.373760509
25	3.363611298
26	3.351102983
27	3.336911734
28	3.326444684
29	3.314929316
30	3.302187555
31	3.289746927
32	3.279207867
33	3.267644876
34	3.25615312
35	3.245516468
36	3.235654895
37	3.22455485
38	3.216125061
39	3.206144796
40	3.196132078
41	3.186321462
42	3.177211188
43	3.168990275
44	3.160154285
45	3.149445155
46	3.14165072
47	3.131764957
48	3.124626754
49	3.117927821
50	3.109413438
51	3.101841551
52	3.094879401
53	3.087891907
54	3.0829538
55	3.075814025
56	3.070050217
57	3.063903176
58	3.05579542
59	3.05042347
60	3.04514087
61	3.039922716
62	3.032835075
63	3.026918311
64	3.020251646
65	3.014628951
66	3.0086983
67	3.000069449
68	2.993049965
69	2.986298446
70	2.981307394
71	2.975625821
72	2.969813511
73	2.964608261
74	2.959159051
75	2.954422533
76	2.948248542
77	2.942082936
78	2.938444446
79	2.933353094
80	2.925617671
81	2.920740798
82	2.915429216
83	2.911431561
84	2.907675074
85	2.90288859
86	2.896830525
87	2.892978671
88	2.888337437
89	2.883157968
90	2.876785373
91	2.874184802
92	2.869935219
93	2.865340354
94	2.861041153
95	2.856192959
96	2.852525255
97	2.846623355
98	2.841854468
99	2.837410635
100	2.834805389
101	2.830091818
102	2.826209513
103	2.822572436
104	2.81846899
105	2.813938755
106	2.808623277
107	2.805080282
108	2.800853132
109	2.797372527
110	2.793043177
111	2.79024582
112	2.786623651
113	2.781896913
114	2.778637699
115	2.776008234
116	2.772323206
117	2.768042013
118	2.761381048
119	2.757439132
120	2.755285244
121	2.751974547
122	2.746519402
123	2.743530422
124	2.739639976
125	2.735147631
126	2.732232376
127	2.728372691
128	2.725651211
129	2.722424818
130	2.718554
131	2.715715382
132	2.712585727
133	2.707071776
134	2.703447766
135	2.700308683
136	2.698035017
137	2.693195085
138	2.690382274
139	2.685728592
140	2.680688789
141	2.677615627
142	2.673140553
143	2.671005561
144	2.667501623
145	2.663697513
146	2.659735382
147	2.656535433
148	2.651532432
149	2.648480733
150	2.644147892
151	2.640589097
152	2.637392464
153	2.63468611
154	2.632119136
155	2.629197437
156	2.626059545
157	2.622366112
158	2.620686447
159	2.615515734
160	2.611048224
161	2.607702262
162	2.603228251
163	2.599371809
164	2.596864451
165	2.592351552
166	2.589388183
167	2.585584335
168	2.581258229
169	2.576857901
170	2.574326592
171	2.572014874
172	2.569026284
173	2.567203361
174	2.564272357
175	2.5600355
176	2.557508016
177	2.554306101
178	2.548932284
179	2.544572217
180	2.541752346
181	2.538646418
182	2.534638953
183	2.531782021
184	2.526590084
185	2.522468224
186	2.51899347
187	2.51563219
188	2.513288307
189	2.509834448
190	2.504742684
191	2.501314652
192	2.498888292
193	2.497500435
194	2.492628292
195	2.488848969
196	2.484960836
197	2.481562061
198	2.478823188
199	2.474748818
200	2.471359226
201	2.468061325
202	2.463814972
203	2.459870082
204	2.456927428
205	2.451994686
206	2.449521438
207	2.447417819
208	2.445401394
209	2.442363372
210	2.437613077
211	2.433058326
212	2.430300854
213	2.427597054
214	2.424372525
