iter	RMSE
0	1.870951335
1	1.846639912
2	1.821935791
3	1.801490293
4	1.779578784
5	1.757322301
6	1.736726411
7	1.7214088
8	1.704290624
9	1.687811489
10	1.673579217
11	1.658374627
12	1.642664121
13	1.628568687
14	1.614682576
15	1.602193796
16	1.589792059
17	1.57977109
18	1.568990448
19	1.559495716
20	1.552062957
21	1.542403952
22	1.532938725
23	1.524668221
24	1.516134789
25	1.508713394
26	1.50190639
27	1.494996252
28	1.488335754
29	1.480866578
30	1.474528536
31	1.468075402
32	1.4606824
33	1.455197516
34	1.449638757
35	1.44398446
36	1.438744649
37	1.433663053
38	1.429226684
39	1.424406614
40	1.420164304
41	1.416395391
42	1.411629311
43	1.407776099
44	1.403417605
45	1.398475578
46	1.394786225
47	1.39040941
48	1.3871917
49	1.384569554
50	1.380786654
51	1.377052508
52	1.373287286
53	1.369774958
54	1.366044962
55	1.36302099
56	1.360031147
57	1.357007972
58	1.353575592
59	1.350961682
60	1.348064651
61	1.345027761
62	1.342405962
63	1.339839096
64	1.337185597
65	1.334674953
66	1.331978327
67	1.328730184
68	1.326350114
69	1.323296734
70	1.320061547
71	1.317373454
72	1.314796124
73	1.312283517
74	1.310522973
75	1.308339638
76	1.306691542
77	1.304316916
78	1.302194695
79	1.300357743
80	1.297929851
81	1.295820255
82	1.294404756
83	1.29258348
84	1.29016717
85	1.28742291
86	1.285474162
87	1.283158945
88	1.281325794
89	1.278924767
90	1.277115709
91	1.275122697
92	1.27387736
93	1.271871192
94	1.269710196
95	1.267894689
96	1.265742269
97	1.264246745
98	1.262671057
99	1.261408041
100	1.259166763
101	1.25762427
102	1.255584633
103	1.25396325
104	1.251949969
105	1.250434086
106	1.248800877
107	1.247208452
108	1.244840337
109	1.242972507
110	1.241558329
111	1.240564142
112	1.238930949
113	1.236966919
114	1.23518631
115	1.233450581
116	1.231952505
117	1.229636283
118	1.228241843
119	1.226115759
120	1.22421962
121	1.22169206
122	1.220159365
123	1.218366679
124	1.217380841
125	1.215799649
126	1.213843908
127	1.212407912
128	1.210629095
129	1.209381401
130	1.207780642
131	1.206406274
132	1.204334489
133	1.202874591
134	1.201983346
135	1.20002313
136	1.198519402
137	1.196833248
138	1.195391779
139	1.193529109
140	1.192319002
141	1.190848031
142	1.18967014
143	1.188695373
144	1.186764326
145	1.185200525
146	1.183885474
147	1.182308628
148	1.181150384
149	1.179370331
150	1.177705637
151	1.176032529
152	1.174358157
153	1.17272718
154	1.170643724
155	1.169181701
156	1.167694485
157	1.166081473
158	1.164037134
159	1.162131855
160	1.160398106
161	1.1590157
162	1.157238401
163	1.155860584
164	1.154563274
165	1.153243173
166	1.151669089
167	1.150030029
168	1.148086034
169	1.146496046
170	1.145424896
171	1.143407172
172	1.141674586
173	1.139638975
174	1.138077858
175	1.135999255
176	1.134237338
177	1.133160373
178	1.13161175
179	1.130619249
180	1.129416684
181	1.127452123
182	1.126464525
183	1.125048215
184	1.124112524
185	1.122376523
186	1.121078567
187	1.119834816
188	1.118714778
189	1.117159707
190	1.115611575
191	1.113936201
192	1.112586038
193	1.111304532
194	1.109985815
195	1.108612638
196	1.107016621
197	1.105742256
198	1.104681596
199	1.102801015
200	1.101179568
201	1.100311441
202	1.098981266
203	1.09775377
204	1.096372076
205	1.094943082
206	1.093462804
207	1.091877805
208	1.090402728
209	1.089067789
210	1.087905018
211	1.086539439
212	1.085440243
213	1.083856527
214	1.082440017
215	1.081650071
216	1.080501933
217	1.078850798
218	1.076634443
219	1.07535655
220	1.073610681
221	1.072047168
222	1.070623157
223	1.069134946
224	1.067820938
225	1.066324892
226	1.064493822
227	1.063254771
228	1.061642552
229	1.060271165
230	1.058708779
231	1.057529867
232	1.056445957
233	1.055284512
234	1.054106168
235	1.052927187
236	1.051274595
237	1.049889714
238	1.048089042
239	1.047161815
240	1.045871378
241	1.044653083
242	1.043095022
243	1.04182099
244	1.040968112
245	1.039364443
246	1.037604213
247	1.036328526
248	1.03505264
249	1.033857181
250	1.032452382
251	1.03118393
252	1.030317588
253	1.029100191
254	1.027768076
255	1.026775475
256	1.025914145
257	1.024655983
258	1.023299684
259	1.021531019
260	1.019974721
261	1.018651837
262	1.017699422
263	1.016812396
264	1.015367178
265	1.014458453
266	1.012968532
267	1.011502855
268	1.009861327
269	1.008527423
270	1.006701805
271	1.005767822
272	1.004667386
273	1.003083497
274	1.001522982
275	1.000334904
276	0.9991788475
277	0.9977876263
278	0.9961243424
279	0.9946840452
280	0.9929075611
281	0.9918034323
282	0.9903605182
283	0.9891886468
284	0.9876378501
285	0.9861173677
286	0.9846031781
287	0.9836071957
288	0.9817660243
289	0.9806257764
290	0.9792503401
291	0.9782730989
292	0.9773697742
293	0.976335302
294	0.9746722363
295	0.9738363306
296	0.972646013
297	0.9712870588
298	0.9700021052
299	0.9687002134
300	0.9676533748
301	0.9665084578
302	0.9647445545
303	0.9631869936
304	0.9624353094
305	0.9615752678
306	0.9603982217
307	0.9589517661
308	0.9576367049
309	0.9566116575
310	0.9555269656
311	0.9541513163
312	0.9526646301
313	0.9513235173
314	0.95049761
315	0.9495961173
316	0.9483401222
317	0.9468326364
318	0.9454836
319	0.9445065867
320	0.9429434141
321	0.9419825029
322	0.9403003874
323	0.9393177457
324	0.9382391084
325	0.9373094016
326	0.9358216973
327	0.9348649445
328	0.9338827348
329	0.9331145026
330	0.9319340518
331	0.9311773913
332	0.9303455007
333	0.9293925763
334	0.9283825521
335	0.92767936
336	0.9268435654
337	0.925689383
338	0.9244535716
339	0.9236028426
340	0.9223197617
341	0.9215740508
342	0.9203863513
343	0.9189196525
344	0.9178798844
345	0.9165060495
346	0.9151820034
347	0.9139635694
348	0.9127609704
349	0.9116436118
350	0.9106331157
351	0.9096302251
352	0.9089464402
353	0.9077270883
354	0.9068343513
355	0.9053092281
356	0.9042251476
357	0.9027871305
358	0.9017935611
359	0.901056259
360	0.9000652256
361	0.8990533559
362	0.8974933925
363	0.8967442481
364	0.8954970674
365	0.8945541927
366	0.8931130577
367	0.8919787622
368	0.8912357926
369	0.8903805067
370	0.8890788669
371	0.8885613679
372	0.8875420201
373	0.8871985741
374	0.8861809046
375	0.8850244855
376	0.8840562756
377	0.8826841674
378	0.8818703056
379	0.8810360032
380	0.8808741263
381	0.8796720169
382	0.8787579964
383	0.8777307636
384	0.8765376312
385	0.8754511848
386	0.8746803902
387	0.8737855909
388	0.8729531062
389	0.872223016
390	0.8719690213
391	0.8708719479
392	0.86973755
393	0.8692188122
394	0.8679815932
395	0.8669759158
396	0.8664464173
397	0.8650816132
398	0.863602981
399	0.8628532833
400	0.8617610899
401	0.8596458709
402	0.8588853547
403	0.8578425055
404	0.8570938993
405	0.8565692344
406	0.855667187
407	0.8546085208
408	0.8533899068
409	0.8525233626
410	0.8516524277
411	0.8506097179
412	0.8496864125
413	0.8478651214
414	0.8462619043
415	0.8449608286
416	0.8441616828
417	0.8430538326
418	0.8418623516
419	0.8413662424
420	0.84007605
421	0.8386363043
422	0.8371912247
423	0.8366249693
424	0.8357802956
425	0.834664018
426	0.8337554062
427	0.8322985645
428	0.8313363539
429	0.8303478742
430	0.829454871
431	0.8286869333
432	0.8276637433
433	0.8269306855
434	0.8259356145
435	0.8253811539
436	0.8248183954
437	0.8239233802
438	0.8230978356
439	0.8220082113
440	0.8214622004
441	0.8205485561
442	0.8196169454
443	0.8189386634
444	0.8180305443
445	0.8169358649
446	0.8163167267
447	0.815157823
448	0.8140197032
449	0.8133632477
450	0.8127892571
451	0.8114601351
452	0.8102404037
453	0.8094651609
454	0.8088846262
455	0.8081350031
456	0.807746452
457	0.8064142998
458	0.8057881993
459	0.8046416821
460	0.8035529952
461	0.8025994599
462	0.8017307491
463	0.8005841556
464	0.7996906993
465	0.7989748374
466	0.7982402208
467	0.7974717046
468	0.7961665634
469	0.7949507813
470	0.7939660307
471	0.7928571286
472	0.7916770393
473	0.7907095814
474	0.7901825546
475	0.7894807524
476	0.788593238
477	0.7868319178
478	0.7853109222
479	0.7852821024
480	0.7842887499
481	0.7833876284
482	0.7821289284
483	0.7806441824
484	0.7798472824
485	0.7788281487
486	0.777748047
487	0.7768198366
488	0.7755361355
489	0.7748873719
490	0.7743009459
491	0.773377877
492	0.772700192
493	0.7717671613
494	0.7711629703
495	0.7699245632
496	0.7690664522
497	0.7684999863
498	0.7674288676
499	0.7666721711
500	0.7655258731
501	0.7644252666
502	0.7635073662
503	0.7623623687
504	0.76088203
505	0.7605540744
506	0.759838302
507	0.7588624304
508	0.7588456029
509	0.7578183923
510	0.7568608371
511	0.755632449
512	0.7548700285
513	0.7538846416
514	0.7533306596
515	0.7526188277
516	0.7514804318
517	0.751060198
518	0.750079744
519	0.7494040203
520	0.7483356716
521	0.747404907
522	0.7466265896
523	0.7460551257
524	0.7454926866
525	0.744460063
526	0.7435899981
527	0.7430118368
528	0.7422508213
529	0.7416555094
530	0.7411736982
531	0.7405060027
532	0.7397796407
533	0.7391520133
534	0.7384620805
535	0.7379449444
536	0.7371305185
537	0.7363781717
538	0.7356354767
539	0.7347766274
540	0.7341280458
541	0.7333452578
542	0.7327436102
543	0.7316064724
544	0.7311470211
545	0.7299156488
