iter	Passed	Remaining
0	24	24540
1	46	22958
2	73	24488
3	101	25180
4	176	35154
5	259	43070
6	310	44020
7	390	48477
8	468	51620
9	500	49597
10	551	49596
11	624	51390
12	670	50900
13	727	51233
14	794	52160
15	863	53108
16	941	54442
17	1009	55060
18	1077	55619
19	1162	56965
20	1186	55316
21	1235	54934
22	1297	55116
23	1385	56330
24	1469	57321
25	1579	59164
26	1637	59005
27	1682	58390
28	1735	58112
29	1801	58241
30	1856	58037
31	1919	58072
32	1975	57895
33	2033	57762
34	2087	57566
35	2166	58025
36	2191	57042
37	2270	57490
38	2332	57476
39	2381	57162
40	2431	56875
41	2490	56799
42	2559	56970
43	2622	56984
44	2693	57165
45	2743	56888
46	2806	56898
47	2851	56564
48	2905	56381
49	2949	56034
50	2993	55707
51	3066	55897
52	3108	55548
53	3136	54946
54	3184	54719
55	3274	55200
56	3330	55097
57	3412	55417
58	3468	55320
59	3516	55087
60	3593	55322
61	3671	55551
62	3725	55402
63	3846	56259
64	3894	56021
65	3984	56392
66	4060	56538
67	4126	56554
68	4198	56648
69	4239	56327
70	4297	56228
71	4339	55927
72	4378	55594
73	4407	55148
74	4440	54771
75	4495	54651
76	4537	54386
77	4584	54193
78	4637	54066
79	4746	54579
80	4808	54560
81	4884	54683
82	4905	54199
83	4960	54094
84	5008	53917
85	5063	53810
86	5106	53591
87	5143	53305
88	5201	53239
89	5299	53586
90	5349	53433
91	5411	53413
92	5464	53296
93	5524	53244
94	5609	53434
95	5636	53075
96	5677	52850
97	5706	52521
98	5758	52410
99	5830	52476
100	5882	52355
101	5946	52351
102	6000	52260
103	6059	52202
104	6102	52017
105	6155	51911
106	6193	51689
107	6240	51544
108	6282	51355
109	6321	51147
110	6425	51458
111	6502	51553
112	6592	51749
113	6659	51753
114	6728	51779
115	6803	51845
116	6836	51594
117	6890	51502
118	6942	51397
119	7015	51449
120	7070	51363
121	7148	51444
122	7209	51404
123	7287	51481
124	7307	51153
125	7361	51060
126	7414	50964
127	7465	50858
128	7541	50919
129	7565	50630
130	7613	50503
131	7659	50364
132	7714	50287
133	7793	50364
134	7851	50308
135	7879	50059
136	7914	49858
137	7934	49564
138	7962	49322
139	7998	49131
140	8031	48927
141	8057	48685
142	8085	48454
143	8112	48221
